summary_date,score,score_stay_active,score_move_every_hour,score_meet_daily_targets,score_training_frequency,score_training_volume,score_recovery_time,cal_active,cal_total,daily_movement,inactivity_alerts,steps,non_wear,rest,inactive,low,medium,high,average_met,met_min_inactive,met_min_low,met_min_medium,met_min_high,target_calories,target_km,target_miles,to_target_km,to_target_miles,day_start,day_end,class_5min
2020-02-20,71.0,83.0,95.0,1.0,100.0,95.0,100.0,251,1805,5761,1,6751,0,590,494,321,33,2,1.40625,14,165,89,11,350,10.0,6.21371,2.7,1.6777017,2020-02-20T04:00:00-08:00,2020-02-21T03:59:59-08:00,111111111111111111111111111111111111111111233333343332224444333333432222233111222222222222322233333432323332323333332222222332332332233332322334322322223322222223222332222222222222222222223322322332233333222222233321111111121111111111111111111111111111111111111111111111111111111111111111
2020-02-21,69.0,76.0,95.0,1.0,96.0,89.0,100.0,199,1733,4491,1,6027,66,552,553,239,28,2,1.34375,15,123,73,11,350,10.0,6.21371,4.0,2.485484,2020-02-21T04:00:00-08:00,2020-02-22T03:59:59-08:00,111111111111111111111111111221123334333333333222222222243322222223333341000000000000033222233222323232222222322222222222222222332333322222222222222222112223222233222233222222343433223333233222323233322322211111343211111111111111111111211111111111111111111111111111111111111111111111111111
2020-02-22,77.0,80.0,95.0,25.0,100.0,95.0,100.0,383,1987,9342,1,11621,0,478,517,361,83,1,1.53125,15,188,216,6,350,10.0,6.21371,-0.7,-0.4349597,2020-02-22T04:00:00-08:00,2020-02-23T03:59:59-08:00,111111111111111111111111111133322232322222233333443333344234333332223422222222222222222234444432233333323323234443422223323332333322333333222333333322222222332222432222222222221233322222223333233233233223234322222222223332111111111111111111111111111111111112211111111111111111111111111111
2020-02-23,84.0,90.0,100.0,43.0,100.0,96.0,100.0,385,1936,9959,0,11314,54,573,425,301,82,5,1.5,10,183,206,29,350,10.0,6.21371,-0.8,-0.4970968,2020-02-23T04:00:00-08:00,2020-02-24T03:59:59-08:00,111111112111111111111111111111112221111122222233323332200000000002222222232333434222222222222343344333222343432344444223332223222322222322222222233343333333333232233335322112114322233322233322233223443333333322222223321111111111111111111111111111122111111111111111111111111111111111111111
2020-02-24,82.0,83.0,100.0,43.0,100.0,97.0,98.0,346,1918,8739,0,9728,18,547,500,306,66,3,1.46875,13,193,162,17,350,10.0,6.21371,0.2,0.1242742,2020-02-24T04:00:00-08:00,2020-02-25T03:59:59-08:00,111111111111111111111111111112212332223333344334333332333332222232223344333222222222222222322344443342233333223233332222222222222222222222223222223332332222111112000323333332233333333333322222222222232422333321111111111111111111211111111111111111111111111112211111111111111222111111111231
2020-02-25,78.0,60.0,78.0,60.0,100.0,98.0,89.0,416,2037,10087,2,13343,62,329,679,271,93,6,1.59375,21,146,263,32,250,7.0,4.349597,-4.2,-2.6097582,2020-02-25T04:00:00-08:00,2020-02-26T03:59:59-08:00,322112332223233222111111111223322323322322234443433322222343322222322233322244444434332233223444444442233223332332333322323222222222222233222333232233442222222222222222222222333222222442222232322233322223223222222222222200000000000021111111111111111111111111111111111111111111111111111111
2020-02-26,77.0,59.0,95.0,60.0,100.0,97.0,80.0,199,1756,4614,1,5587,0,515,653,243,28,1,1.375,14,127,74,6,250,7.0,4.349597,1.4,0.8699194,2020-02-26T04:00:00-08:00,2020-02-27T03:59:59-08:00,111111111111111111111111112333333433222222222232222222222222232334444223322222222222232322222222223222233332323223222322222233323333333223222322222222333342322222322332223321222221112222222233222223322322233332223222222333111111111111111111111111111111111111111111111111111111111111111111
2020-02-27,88.0,61.0,95.0,78.0,100.0,97.0,100.0,318,1914,7812,1,9378,0,413,659,305,59,4,1.5,15,170,144,23,300,9.0,5.592339,-0.3,-0.1864113,2020-02-27T04:00:00-08:00,2020-02-28T03:59:59-08:00,111111111111111112221111222332222223443334433343333433232223332222222222222223323433222232232223333333222222233332222222223222222233322223232233113322222222333224344423323432332222333222232222322222222222222222233223332111122222222233111111111111111111111111111112111111111111111111111111
2020-02-28,95.0,82.0,100.0,95.0,100.0,97.0,98.0,408,2009,10094,0,12267,6,490,476,395,68,5,1.5625,13,235,177,28,250,7.0,4.349597,-4.0,-2.485484,2020-02-28T04:00:00-08:00,2020-02-29T03:59:59-08:00,111111122212222111112222211112223322223333332343334222212222222322235103222233334344322333342232332334323333332232222323323232222233233333332223333323333333332223223433444444433222223233222232222222222222222344221112222111111111111111111111111111111111111111111111111111111111111111111111
2020-02-29,95.0,81.0,100.0,95.0,100.0,96.0,98.0,281,1852,6623,0,8031,62,493,516,328,38,3,1.4375,12,180,102,17,250,7.0,4.349597,-0.7,-0.4349597,2020-02-29T04:00:00-08:00,2020-03-01T03:59:59-08:00,111111111111111111111112222333232332222222222232222222200000000000022344333432222222223322223433333333333222334333343333333332322222334423334443332222232322223323333333222332322232222222222322232323333222332221111121121111111111111111111111111111111111111111111111111112211111111111111111
